rank,spotify_id,track_name,artists,search_query
190,50PNIHqtEaaY48K7WWxG9L,Peru,Fireboy DML; Ed Sheeran,Fireboy DML Ed Sheeran Peru
191,7arCRGABaKdEFvGa3gCM9d,Baddies,Aya Nakamura; Joé Dwèt Filé,Aya Nakamura Joé Dwèt Filé Baddies
192,0ApflIvLLPwEZuS36WYlh6,Sugarcane - Remix,Camidoh; Mayorkun; Darkoo; King Promise,Camidoh Mayorkun Darkoo King Promise Sugarcane - Remix
193,1xs8bOvm3IzEYmcLJVOc34,Rush,Ayra Starr,Ayra Starr Rush
194,2bBaAOsFVQfKwMAe4wVQb6,On and On,Tyla,Tyla On and On
195,59BXqiS3Bee0Cx7gjpuJBJ,Shoulder,Medikal; Shatta Wale; Beeztrap KOTM,Medikal Shatta Wale Beeztrap KOTM Shoulder
196,44G2gUVQvNNZ6w3i05tR4n,Sensational (feat. Davido & Lojay),Chris Brown; Davido; Lojay,Chris Brown Davido Lojay Sensational (feat. Davido & Lojay)
197,1B5I5yqLpVI5EosZS6bJFs,Call Me Every Day (feat. Wizkid),Chris Brown; Wizkid,Chris Brown Wizkid Call Me Every Day (feat. Wizkid)
198,10y7iW3rc8bzGbhAC3mNPA,Are you there?,Ayo Maff,Ayo Maff Are you there?
199,2fhVsI54lSCFyW7sw5WPfR,4 Kampé II,Joé Dwèt Filé; Burna Boy,Joé Dwèt Filé Burna Boy 4 Kampé II
200,2RbqijI8M19oqFsCbHBW1K,Dey Play,Vudumane,Vudumane Dey Play
201,5DttTktPy0RMZPz4UNfFm4,NO COMPETITION (feat. Asake),Davido; Asake,Davido Asake NO COMPETITION (feat. Asake)
202,64DO20MWEgSdkngoUwTl3z,GIFTED,Zinoleesky,Zinoleesky GIFTED
203,7FmHmNJxuPxNxxhoMPga1z,SUIT & TIE,Zinoleesky; Toosii,Zinoleesky Toosii SUIT & TIE
204,5KV5UXd1uNZZafWTudrVft,IDK (feat. Zlatan),Wizkid; Zlatan,Wizkid Zlatan IDK (feat. Zlatan)
205,1n75T4YcMVF247pHqT678d,Follow Her (feat. Kizz Daniel),Blaqbonez; Kizz Daniel,Blaqbonez Kizz Daniel Follow Her (feat. Kizz Daniel)
206,2aksOpB4UibyYykhQAQ3Ne,I Don't Give A Fuck (IDGAF),Supa Gaeta; King Paluta,Supa Gaeta King Paluta I Don't Give A Fuck (IDGAF)
207,5rms2y2xqSB78qahVFuNYE,ON DISPLAY,Savage; BackRoad Gee,Savage BackRoad Gee ON DISPLAY
208,2HYcI74UpbMMxLZ1m7Xnfn,Bad To Me,Wizkid,Wizkid Bad To Me
209,57YamqkskSvudGGOoooOhF,My Darling - Mpenzi Wangu,Chella; Diamond Platnumz,Chella Diamond Platnumz My Darling - Mpenzi Wangu
210,5XSuj4xrbakbDeSQom3oAr,Nairobi,Marioo; Bien,Marioo Bien Nairobi
211,39C3UVMIaU6XOm9iN6fhgg,Smooth Kriminal (with Oxlade),255; Oxlade,255 Oxlade Smooth Kriminal (with Oxlade)
212,2vQJRynClKi21S5CBnFHvj,Taxi Driver,Joeboy,Joeboy Taxi Driver
213,5SxVagJAkX57wOmMARoWD0,Barbie doll,Beatsii,Beatsii Barbie doll
214,6Ir2Zyt5AZnF2RlqXOFblo,Toma Toma,Ruger; Tiwa Savage,Ruger Tiwa Savage Toma Toma
215,0x3sDnom0itB72oEVrRE7v,Ololufe (feat. Wande Coal),Wizkid; Wande Coal,Wizkid Wande Coal Ololufe (feat. Wande Coal)
216,6DP9EqCK1sPqk9v6oOP9Mo,OKAY,Magixx,Magixx OKAY
217,2Xr1dTzJee307rmrkt8c0g,love nwantiti (ah ah ah),CKay,CKay love nwantiti (ah ah ah)
218,2com2d42sFO1QdV6k7XAAu,No Yawa,Princess Wonda,Princess Wonda No Yawa
219,3bNibGN2ah6VEIomniLPP9,1 WORK - Remix,Zhus Jdo; Famous Pluto; Smur Lee,Zhus Jdo Famous Pluto Smur Lee 1 WORK - Remix
220,2q7BfsGmjmUbxn5VkI6QKN,back n forth,Fireboy DML; Lagbaja,Fireboy DML Lagbaja back n forth
221,3UqcIgObI7zZk8e7nvqmfc,Finesse,Pheelz; BNXN,Pheelz BNXN Finesse
